Iteration,Time,Size
1,5.786e-06,110
2,3.3199e-05,260
3,7.4094e-05,460
4,7.3075e-05,710
5,9.3371e-05,1010
6,0.000130142,1360
7,0.000201935,1760
8,0.000200242,2210
9,0.000234135,2710
10,0.000272451,3260
11,0.00031533,3860
12,0.000410541,4510
13,0.000394916,5210
14,0.000480747,5960
15,0.000609429,6760
16,0.000577373,7610
17,0.000652288,8510
18,0.000744125,9460
19,0.000844965,10460
20,0.00104297,11510
21,0.00100457,12610
22,0.00110123,13760
23,0.00120841,14960
24,0.0013669,16210
25,0.00168874,17510
26,0.00199695,18860
27,0.00183441,20260
28,0.00206058,21710
29,0.00254282,23210
30,0.00265401,24760
31,0.00253226,26360
32,0.00261702,28010
33,0.00261628,29710
34,0.00273278,31460
35,0.00287654,33260
36,0.00291443,35110
37,0.00345896,37010
38,0.0036451,38960
39,0.00396849,40960
40,0.00437071,43010
41,0.00449117,45110
42,0.00540162,47260
43,0.00510001,49460
44,0.0051103,51710
45,0.00504275,54010
46,0.0052095,56360
47,0.00594896,58760
48,0.00653745,61210
49,0.00690104,63710
50,0.00642268,66260
51,0.00658851,68860
52,0.00686451,71510
53,0.00730032,74210
54,0.0071541,76960
55,0.00795301,79760
56,0.00837346,82610
57,0.00846725,85510
58,0.00841787,88460
59,0.00869339,91460
60,0.00907968,94510
61,0.00918456,97610
62,0.00960506,100760
63,0.0100875,103960
64,0.0100809,107210
65,0.0103527,110510
66,0.0110062,113860
67,0.0108967,117260
68,0.0112077,120710
69,0.0127125,124210
70,0.0141889,127760
71,0.0139732,131360
72,0.0133364,135010
73,0.0140359,138710
74,0.0140161,142460
75,0.0144498,146260
76,0.0143407,150110
77,0.0160826,154010
78,0.0185379,157960
79,0.0172202,161960
80,0.0163032,166010
81,0.0160628,170110
82,0.0175698,174260
83,0.0176358,178460
84,0.0176234,182710
85,0.0177937,187010
86,0.0186124,191360
87,0.0194565,195760
88,0.020189,200210
89,0.0199928,204710
90,0.0207237,209260
91,0.0212291,213860
92,0.0255166,218510
93,0.0222375,223210
94,0.0217588,227960
95,0.0229731,232760
96,0.0240025,237610
97,0.0238936,242510
98,0.0238575,247460
99,0.024317,252460
100,0.025946,257510
