Iteration,Time,Size
1,2.96e-06,110
2,1.2533e-05,260
3,3.436e-05,460
4,7.9157e-05,710
5,0.000159634,1010
6,0.00028391,1360
7,0.000469079,1760
8,0.000726629,2210
9,0.00115152,2710
10,0.00158973,3260
11,0.00226865,3860
12,0.00309412,4510
13,0.00448384,5210
14,0.0063021,5960
15,0.00753534,6760
16,0.00902626,7610
17,0.0117375,8510
18,0.0138686,9460
19,0.0199747,10460
20,0.0208679,11510
21,0.0273521,12610
22,0.0306116,13760
23,0.035109,14960
24,0.0442931,16210
25,0.0481166,17510
26,0.0550465,18860
27,0.0665159,20260
28,0.0761256,21710
29,0.0869346,23210
30,0.0975435,24760
31,0.110273,26360
32,0.12599,28010
33,0.147477,29710
34,0.159315,31460
35,0.174875,33260
36,0.203167,35110
37,0.219422,37010
38,0.247063,38960
39,0.274554,40960
40,0.306085,43010
41,0.321256,45110
42,0.358963,47260
43,0.391331,49460
44,0.425722,51710
45,0.462755,54010
46,0.508692,56360
47,0.551031,58760
48,0.603323,61210
49,0.644919,63710
50,0.700741,66260
51,0.7985,68860
52,0.819118,71510
53,0.924201,74210
54,0.98045,76960
55,1.04027,79760
56,1.15014,82610
57,1.30034,85510
58,1.52194,88460
59,1.37078,91460
60,1.45667,94510
61,1.54109,97610
62,1.63773,100760
63,1.73393,103960
64,1.88582,107210
65,1.96797,110510
66,2.3174,113860
67,2.2542,117260
68,2.34055,120710
69,2.44753,124210
70,2.62285,127760
